,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,1.0,1.0,-1.0
2020-09-23 14:01:00,0.5,-1.5,1.5,-0.5,-1.5,0.5,-0.5,0.0,0.5,0.5,1.0,-1.5
2020-09-23 14:02:00,0.0,-1.3333333333333333,1.6666666666666667,-0.3333333333333333,-2.0,1.0,0.0,-0.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,-2.0
2020-09-23 14:03:00,-0.25,-1.25,1.5,-0.5,-2.25,1.25,0.0,-0.5,0.25,0.0,1.5,-2.5
2020-09-23 14:04:00,-0.2,-1.2,1.6,-0.4,-2.6,1.6,-0.2,-0.8,0.4,-0.2,1.8,-3.0
2020-09-23 14:05:00,0.0,-1.3333333333333333,1.6666666666666667,-0.3333333333333333,-3.0,1.8333333333333333,-0.5,-1.0,0.5,-0.3333333333333333,2.0,-3.3333333333333335
2020-09-23 14:06:00,0.2857142857142857,-1.4285714285714286,1.5714285714285714,-0.42857142857142855,-3.142857142857143,1.8571428571428572,-0.5714285714285714,-1.2857142857142858,0.5714285714285714,-0.2857142857142857,2.2857142857142856,-3.7142857142857144
2020-09-23 14:07:00,0.5,-1.375,1.5,-0.5,-3.25,1.875,-0.625,-1.5,0.5,-0.125,2.5,-3.875
2020-09-23 14:08:00,0.7777777777777778,-1.3333333333333333,1.5555555555555556,-0.6666666666666666,-3.4444444444444446,1.7777777777777777,-0.7777777777777778,-1.5555555555555556,0.4444444444444444,0.0,2.5555555555555554,-3.888888888888889
2020-09-23 14:09:00,1.0,-1.3,1.5,-0.8,-3.6,1.7,-0.9,-1.7,0.5,0.1,2.6,-4.0
2020-09-23 14:10:00,1.1818181818181819,-1.1818181818181819,1.3636363636363635,-0.9090909090909091,-3.727272727272727,1.7272727272727273,-1.0909090909090908,-1.7272727272727273,0.5454545454545454,0.09090909090909091,2.6363636363636362,-4.090909090909091
2020-09-23 14:11:00,1.3333333333333333,-1.0833333333333333,1.25,-0.9166666666666666,-3.8333333333333335,1.6666666666666667,-1.3333333333333333,-1.8333333333333333,0.5833333333333334,0.16666666666666666,2.6666666666666665,-4.083333333333333
2020-09-23 14:12:00,1.5384615384615385,-1.0,1.0769230769230769,-0.8461538461538461,-3.8461538461538463,1.6923076923076923,-1.5384615384615385,-1.8461538461538463,0.6153846153846154,0.15384615384615385,2.6923076923076925,-4.0
2020-09-23 14:13:00,1.7857142857142858,-1.0,0.9285714285714286,-0.7142857142857143,-3.857142857142857,1.7857142857142858,-1.7857142857142858,-1.7857142857142858,0.6428571428571429,0.21428571428571427,2.7142857142857144,-3.9285714285714284
2020-09-23 14:14:00,2.066666666666667,-1.0666666666666667,0.8,-0.6666666666666666,-3.8666666666666667,1.9333333333333333,-1.9333333333333333,-1.6666666666666667,0.6666666666666666,0.26666666666666666,2.6666666666666665,-3.8666666666666667
2020-09-23 14:15:00,2.375,-1.0625,0.6875,-0.6875,-3.8125,2.0625,-2.0625,-1.5,0.6875,0.25,2.6875,-3.8125
2020-09-23 14:16:00,2.588235294117647,-1.0,0.5294117647058824,-0.6470588235294118,-3.823529411764706,2.235294117647059,-2.235294117647059,-1.411764705882353,0.7647058823529411,0.17647058823529413,2.7058823529411766,-3.7058823529411766
2020-09-23 14:17:00,2.7222222222222223,-1.0,0.3333333333333333,-0.6111111111111112,-3.8333333333333335,2.3333333333333335,-2.4444444444444446,-1.3888888888888888,0.7777777777777778,0.05555555555555555,2.7777777777777777,-3.611111111111111
2020-09-23 14:18:00,2.8421052631578947,-1.0526315789473684,0.10526315789473684,-0.5263157894736842,-3.789473684210526,2.4210526315789473,-2.5789473684210527,-1.4210526315789473,0.7368421052631579,0.0,2.8421052631578947,-3.473684210526316
2020-09-23 14:19:00,2.9,-1.05,-0.05,-0.4,-3.75,2.55,-2.65,-1.45,0.65,0.0,2.9,-3.35
2020-09-23 14:20:00,2.9047619047619047,-1.0952380952380953,-0.23809523809523808,-0.3333333333333333,-3.7142857142857144,2.619047619047619,-2.7142857142857144,-1.4761904761904763,0.6190476190476191,-0.047619047619047616,2.9523809523809526,-3.1904761904761907
2020-09-23 14:21:00,2.8636363636363638,-1.1818181818181819,-0.36363636363636365,-0.2727272727272727,-3.6363636363636362,2.6818181818181817,-2.727272727272727,-1.5454545454545454,0.5454545454545454,-0.13636363636363635,2.9545454545454546,-3.0
2020-09-23 14:22:00,2.782608695652174,-1.2173913043478262,-0.5217391304347826,-0.2608695652173913,-3.5652173913043477,2.6956521739130435,-2.6956521739130435,-1.608695652173913,0.43478260869565216,-0.21739130434782608,3.0,-2.8260869565217392
2020-09-23 14:23:00,2.6666666666666665,-1.25,-0.7083333333333334,-0.20833333333333334,-3.5,2.6666666666666665,-2.625,-1.625,0.375,-0.25,3.0,-2.7083333333333335
2020-09-23 14:24:00,2.56,-1.28,-0.84,-0.2,-3.44,2.68,-2.56,-1.64,0.36,-0.28,2.96,-2.6
2020-09-23 14:25:00,2.423076923076923,-1.3076923076923077,-0.9615384615384616,-0.19230769230769232,-3.3846153846153846,2.730769230769231,-2.4615384615384617,-1.6153846153846154,0.3076923076923077,-0.3076923076923077,2.923076923076923,-2.5384615384615383
2020-09-23 14:26:00,2.3333333333333335,-1.3333333333333333,-1.037037037037037,-0.2222222222222222,-3.3333333333333335,2.7777777777777777,-2.4074074074074074,-1.5925925925925926,0.2222222222222222,-0.37037037037037035,2.8518518518518516,-2.5185185185185186
2020-09-23 14:27:00,2.25,-1.3928571428571428,-1.1071428571428572,-0.2857142857142857,-3.3214285714285716,2.7857142857142856,-2.3214285714285716,-1.5714285714285714,0.14285714285714285,-0.4642857142857143,2.8214285714285716,-2.4642857142857144
2020-09-23 14:28:00,2.1379310344827585,-1.4827586206896552,-1.206896551724138,-0.3448275862068966,-3.2758620689655173,2.8275862068965516,-2.2413793103448274,-1.5517241379310345,0.10344827586206896,-0.5862068965517241,2.7586206896551726,-2.413793103448276
2020-09-23 14:29:00,2.033333333333333,-1.5666666666666667,-1.3,-0.4,-3.2333333333333334,2.8333333333333335,-2.2,-1.5666666666666667,0.03333333333333333,-0.7,2.7,-2.4
2020-09-23 14:30:00,1.967741935483871,-1.6451612903225807,-1.4193548387096775,-0.4838709677419355,-3.225806451612903,2.806451612903226,-2.161290322580645,-1.6129032258064515,0.0,-0.8064516129032258,2.6129032258064515,-2.3548387096774195
2020-09-23 14:31:00,1.90625,-1.75,-1.5625,-0.5625,-3.25,2.75,-2.09375,-1.65625,-0.0625,-0.875,2.5625,-2.28125
2020-09-23 14:32:00,1.878787878787879,-1.8484848484848484,-1.696969696969697,-0.6060606060606061,-3.242424242424242,2.6666666666666665,-2.0303030303030303,-1.696969696969697,-0.15151515151515152,-0.9696969696969697,2.484848484848485,-2.242424242424242
2020-09-23 14:33:00,1.8823529411764706,-1.9411764705882353,-1.7941176470588236,-0.6470588235294118,-3.264705882352941,2.5588235294117645,-1.9705882352941178,-1.7647058823529411,-0.2647058823529412,-1.0294117647058822,2.3823529411764706,-2.2058823529411766
2020-09-23 14:34:00,1.9142857142857144,-2.0285714285714285,-1.8571428571428572,-0.7142857142857143,-3.3142857142857145,2.4285714285714284,-1.9142857142857144,-1.8285714285714285,-0.34285714285714286,-1.0571428571428572,2.3142857142857145,-2.2
2020-09-23 14:35:00,1.9444444444444444,-2.0833333333333335,-1.9444444444444444,-0.7777777777777778,-3.361111111111111,2.3333333333333335,-1.8333333333333333,-1.9166666666666667,-0.3888888888888889,-1.1111111111111112,2.25,-2.1666666666666665
2020-09-23 14:36:00,1.945945945945946,-2.135135135135135,-2.0,-0.8108108108108109,-3.3783783783783785,2.2432432432432434,-1.7297297297297298,-1.972972972972973,-0.43243243243243246,-1.1891891891891893,2.1621621621621623,-2.108108108108108
2020-09-23 14:37:00,1.9210526315789473,-2.210526315789474,-2.0526315789473686,-0.8157894736842105,-3.3947368421052633,2.1842105263157894,-1.631578947368421,-2.026315789473684,-0.4473684210526316,-1.2894736842105263,2.0789473684210527,-2.0526315789473686
2020-09-23 14:38:00,1.9230769230769231,-2.282051282051282,-2.128205128205128,-0.7948717948717948,-3.3846153846153846,2.128205128205128,-1.564102564102564,-2.076923076923077,-0.46153846153846156,-1.358974358974359,2.0256410256410255,-1.9743589743589745
2020-09-23 14:39:00,1.925,-2.375,-2.225,-0.75,-3.4,2.05,-1.475,-2.1,-0.45,-1.425,2.0,-1.875
2020-09-23 14:40:00,1.951219512195122,-2.4390243902439024,-2.341463414634146,-0.7317073170731707,-3.3902439024390243,1.951219512195122,-1.3902439024390243,-2.1219512195121952,-0.4634146341463415,-1.4878048780487805,1.975609756097561,-1.7804878048780488
2020-09-23 14:41:00,1.9523809523809523,-2.4761904761904763,-2.4761904761904763,-0.7380952380952381,-3.380952380952381,1.8571428571428572,-1.2857142857142858,-2.119047619047619,-0.5,-1.5238095238095237,1.9285714285714286,-1.7142857142857142
2020-09-23 14:42:00,1.9534883720930232,-2.5348837209302326,-2.627906976744186,-0.7674418604651163,-3.3488372093023258,1.744186046511628,-1.1627906976744187,-2.0930232558139537,-0.5116279069767442,-1.5348837209302326,1.8837209302325582,-1.6511627906976745
2020-09-23 14:43:00,1.9772727272727273,-2.6136363636363638,-2.7954545454545454,-0.8181818181818182,-3.2954545454545454,1.6363636363636365,-1.0454545454545454,-2.090909090909091,-0.5227272727272727,-1.5454545454545454,1.8636363636363635,-1.5909090909090908
2020-09-23 14:44:00,2.022222222222222,-2.6666666666666665,-2.9555555555555557,-0.8666666666666667,-3.2666666666666666,1.511111111111111,-0.9333333333333333,-2.066666666666667,-0.5333333333333333,-1.5777777777777777,1.8666666666666667,-1.511111111111111
2020-09-23 14:45:00,2.066666666666667,-2.7555555555555555,-3.2,-0.9333333333333333,-3.311111111111111,1.4222222222222223,-0.8,-2.066666666666667,-0.5333333333333333,-1.6666666666666667,1.9111111111111112,-1.4666666666666666
2020-09-23 14:46:00,2.1555555555555554,-2.8444444444444446,-3.488888888888889,-1.0222222222222221,-3.3333333333333335,1.288888888888889,-0.6666666666666666,-2.0444444444444443,-0.5555555555555556,-1.711111111111111,1.9777777777777779,-1.4
2020-09-23 14:47:00,2.2666666666666666,-2.933333333333333,-3.7555555555555555,-1.0888888888888888,-3.3333333333333335,1.1555555555555554,-0.5555555555555556,-2.0,-0.5555555555555556,-1.7333333333333334,2.0444444444444443,-1.3333333333333333
2020-09-23 14:48:00,2.4,-3.0444444444444443,-4.0,-1.1333333333333333,-3.3555555555555556,1.0,-0.4222222222222222,-1.9777777777777779,-0.5555555555555556,-1.7555555555555555,2.111111111111111,-1.2666666666666666
